Prompt,Response,Label
உயிர் எழுத்துக்கள் பிறக்கும் முறைகள் பற்றி எழுதுக.,"12 உயிரெழுத்துகளும் மிடற்று வளியில் இசைக்கும். இந்த இசையுடன் ...,
அ, ஆ வாய் அங்காந்து பிறக்கும்.
இ, ஈ, எ, ஏ, ஐ ஆகியவை அங்காப்புடன் அண்பல் முதலை நாவிளிம்பு தொடப் பிறக்கும்.
உ, ஊ, ஒ, ஓ, ஔ ஆகியவை அங்காப்புடன் இதழ் குவியப் பிறக்கும்.
இவற்றில் திரிபில் சிறு மாறுதலும் நிகழும்.",
மெய் எழுத்துக்கள் பிறக்கும் முறைகளை எழுதுக.,"வாய் அங்காப்போடு ...,

க, ங - முதல்நா அண்ணத்தைத் தொடப் பிறக்கும்.
ச, ஞ - இடைநா அண்ணத்தைத் தொடப் பிறக்கும்.
ட, ண - நுனிநா அண்ணத்தைத் தொடப் பிறக்கும்.
இவை ஆறும் ஒருவகைப் பிறப்பு.

த, ந - நாநுனி அண்ணமும் பல்லும் பொருந்துமிடத்தில் விரிந்து ஒற்றப் பிறக்கும்.
ற, ன - நுனிநா மேலெழுந்து அண்ணத்தை ஒற்றப் பிறக்கும்.
ர, ழ - நுனிநா மேலெழுந்து அண்ணத்தை வருடப் பிறக்கும்.
ல - நாவிளிம்பு வீங்கி அண்பல் அடியை நா நுனி தொடுகையில் அண்ணத்தை ஒற்றப் பிறக்கும்.
ள - நாவிளிம்பு வீங்கி அண்பல் அடியை நா நுனி தொடுகையில் அண்ணத்தை வருடப் பிறக்கும்.
ப, ம - இதழோடு இதழ் பொருந்தப் பிறக்கும்.
வ - மேல் பல்லும் கீழ் இதழும் இயையப் பிறக்கும்.
ய - மிடற்றில் எழுந்த ஒலி அண்ணத்தில் அடைபடும்போது பிறக்கும்.
மெல்லின எழுத்து ஆறும் மூக்கில் இசைக்கும்.
",
"க, ங பிறக்கும் முறை","க, ங - முதல்நா அண்ணத்தைத் தொடப் பிறக்கும்.",
"ச, ஞ பிறக்கும் முறை","ச, ஞ - இடைநா அண்ணத்தைத் தொடப் பிறக்கும்.",
"ட, ண பிறக்கும் முறை","ட, ண - நுனிநா அண்ணத்தைத் தொடப் பிறக்கும்.",
"த, ந பிறக்கும் முறை","த, ந - நாநுனி அண்ணமும் பல்லும் பொருந்துமிடத்தில் விரிந்து ஒற்றப் பிறக்கும்.",
"ற, ன பிறக்கும் முறை","ற, ன - நுனிநா மேலெழுந்து அண்ணத்தை ஒற்றப் பிறக்கும்.",
"ர, ழ பிறக்கும் முறை","ர, ழ - நுனிநா மேலெழுந்து அண்ணத்தை வருடப் பிறக்கும்.",
ல பிறக்கும் முறை,ல - நாவிளிம்பு வீங்கி அண்பல் அடியை நா நுனி தொடுகையில் அண்ணத்தை ஒற்றப் பிறக்கும்.,
ள பிறக்கும் முறை,ள - நாவிளிம்பு வீங்கி அண்பல் அடியை நா நுனி தொடுகையில் அண்ணத்தை வருடப் பிறக்கும்.,
"ப, ம பிறக்கும் முறை","ப, ம - இதழோடு இதழ் பொருந்தப் பிறக்கும்.",
வ பிறக்கும் முறை,வ - மேல் பல்லும் கீழ் இதழும் இயையப் பிறக்கும்.,
ய பிறக்கும் முறை,ய - மிடற்றில் எழுந்த ஒலி அண்ணத்தில் அடைபடும்போது பிறக்கும்.,
சார்பெழுத்துக்கள் பிறக்கும் முறை,"குற்றியலிகரம், குற்றியலுகரம், ஆய்தம் ஆகிய மூன்றும் சார்பெழுத்துகள். இவற்றிற்கு என்று தனி ஒலி இல்லை. எந்த எழுத்தோடு சார்ந்து வருகிறதோ அந்த எழுத்தின் ஒலியைப் பெறும்.",
அந்தணர் மறை குறித்து எழுதுக,"எழுத்து பிறக்கும் பள்ளிகள் தலை, மிடறு, நெஞ்சு என்று கூறிய தொல்காப்பியர் எந்தெந்த எழுத்துகள் அவற்றில் பிறக்கும் என்று காட்டவில்லை.

""பள்ளிகளில் வளி எழும். சொல்லிய 5 இடங்களில் எழுத்தாகப் பிறந்து வளி விடுபடும். எழுத்தானது பிறந்து, எழுந்து, விடுபடும் அளபு அந்தணர் மறையில் உள்ளது. அகத்தே தோன்றும் அதனை இங்குச் சொல்லாமல், புறத்தே வெளிப்படும் பாங்கை மட்டும் கூறியுள்ளேன்"" என்று தொல்காப்பியர் குறிப்பிடுகிறார்.
வல்லின எழுத்துகள் நெஞ்சிலும், ஆய்த எழுத்து தலையிலும், ஏனையவை மிடற்றிலும் பிறப்பதை அறிஞர்கள் உணர்ந்து கூறியுள்ளனர்.",
தொல்காப்பியம் கூறும் ஒலி உறுப்புக்கள்,"தொல்காப்பியம் ஒலி உறுப்புக்கள் Tolkappiyam Tamil Linguistics 24

சொல்ல நினைக்கும்போது உந்தியில் காற்று முந்திக்கொண்டு வரும்.
அது மூளை, தொண்டை, நெஞ்சு ஆகிய இடங்களில் நிலைகொள்ளும்.
பல், இதழ், நாக்கு, மூக்கு, அண்ணம் ஆகியவற்றில் செயல்படும்.
ஒலிக்க உதவுவன இந்த 8 அறுப்புக்கள்.

இவை வெவ்வேறு பாங்குகளில் செயல்பட்டு ஒலியை உண்டாக்கும். 

நூற்பா மூலம்

உந்தி முதலா முந்து வளி தோன்றி
தலையினும் மிடற்றினும் நெஞ்சினும் நிலைஇ
பல்லும் இதழும் நாவும் மூக்கும்
அண்ணமும் உளப்பட எண் முறை நிலையான்
உறுப்பு உற்று அமைய நெறிப்பட நாடி
எல்லா எழுத்தும் சொல்லும் காலை
பிறப்பின் ஆக்கம் வேறு வேறு இயல
திறப்படத் தெரியும் காட்சியான. 1

தொல்காப்பியம் - 1 எழுத்ததிகாரம் - 3 பிறப்பியல்  (வாயில் எழுத்தொலி பிறக்கும் பாங்கு)",
உயிர் எழுத்துக்கள் எவ்வாறு பிறக்கும் என்று தொல்காப்பியர் கூறுகின்றார்,"தொல்காப்பியம் உயிர் ஒலி Tolkappiyam Tamil Linguistics 25
இவ்வாறு முந்தும் காற்று தொண்டையிலிருந்து வெளிப்படும்போது 12 உயிரெழுத்தும் பிறக்கும். (2)
அப்போது, வாய் அங்காந்தால் அ ஆ ஆகிய இரண்டு எழுத்தும் பிறக்கும். (3)
இ ஈ எ ஏ ஐ என்னும் 5 எழுத்துக்களும் பல்லின் அடியில் நாக்கின் விளிம்பு பொருந்தும் ஒருவகை நிகழ்வால் பிறக்கும். (4)
உ ஊ ஒ ஓ ஔ என்னும் 5 எழுத்தும் வாயின் இதழ் குவியும் நிகழ்வால் பிறக்கும். (5)
இந்த நிகழ்வுகளில் சிறு சிறு மாறுபாடுகள் தோன்றும்போது வெவ்வேறு எழுத்தொலி பிறக்கும். (6)


நூற்பா மூலம்

அவ் வழி,
பன்னீர் உயிரும் தம் நிலை திரியா
மிடற்றுப் பிறந்த வளியின் இசைக்கும். 2

அவற்றுள்,
அ ஆ ஆயிரண்டு அங்காந்து இயலும். 3

இ ஈ எ ஏ ஐ என இசைக்கும்
அப் பால் ஐந்தும் அவற்று ஓரன்ன
அவைதாம்,
அண்பல் முதல் நா விளிம்பு உறல் உடைய. 4

உ ஊ ஒ ஓ ஔ என இசைக்கும்
அப் பால் ஐந்தும் இதழ் குவிந்து இயலும். 5

தம்தம் திரிபே சிறிய என்ப. 6

தொல்காப்பியம் - 1 எழுத்ததிகாரம் - 3 பிறப்பியல்  (வாயில் எழுத்தொலி பிறக்கும் பாங்கு)",
க ங ச ஞ ட ண ஒலிப்பு முறைகள்,"தொல்காப்பியம் க ங ச ஞ ட ண Tolkappiyam Tamil Linguistics 26
க ங மெய்யொலிகள் நாக்கின் வேர்ப்பகுதியிலிருந்து வெளிவரும் காற்றில் பிறக்கும். (7)
அவ்வாறே ச ஞ மெய்யொலிகள் நாக்கின் இடைப்பகுதியிலிருந்து வெளிவரும் காற்றில் பிறக்கும். (8)
அவ்வாறே ட ண மெய்யொலிகள் நாக்கின் நுனிப்பகுதியிலிருந்து வெளிவரும் காற்றில் பிறக்கும். (9)
இந்த ஆறு எழுத்துக்களும் 3 வகையான பிறப்புப் பாங்கினைக் கொண்டவை. (10)

நூற்பா மூலம்
ககார ஙகாரம் முதல் நா அண்ணம். 7

சகார ஞகாரம் இடை நா அண்ணம். 8

டகார ணகாரம் நுனி நா அண்ணம். 9

அவ் ஆறு எழுத்தும் மூ வகைப் பிறப்பின. 10

தொல்காப்பியம் - 1 எழுத்ததிகாரம் - 3 பிறப்பியல்  (வாயில் எழுத்தொலி பிறக்கும் பாங்கு)",
த ந பிறப்பு முறை,"தொல்காப்பியம் த ந Tolkappiyam Tamil Linguistics 27
அண்ணம் என்பது வாயின் உள்ளே இருக்கும் மேல்தாடை.
அண்ணமும் பல்லின்  வேர்ப்பகுதியும் பொருந்துமிடத்தில் நாக்கின் நுனி விரிந்து பொருந்தும்படி ஒற்றும்போது த ந ஒற்றெழுத்து பிறக்கும். (11)

நூற்பா மூலம்

அண்ணம் நண்ணிய பல் முதல் மருங்கில்
நா நுனி பரந்து மெய் உற ஒற்ற
தாம் இனிது பிறக்கும் தகார நகாரம். 11",
ற ன பிறப்பு முறை,"தொல்காப்பியம் ற ன Tolkappiyam Tamil Linguistics 28

நுனிநாக்கு உயர்ந்து அண்ணத்தை ஒற்றினால் ற ன மெய்யெழுத்து பிறக்கும். (12)


நூற்பா மூலம்

அணரி நுனி நா அண்ணம் ஒற்ற
றஃகான் னஃகான் ஆயிரண்டும் பிறக்கும். 12
",
ர ழ பிறப்பு முறை,"தொல்காப்பியம் ர ழ Tolkappiyam Tamil Linguistics 29

நுனிநாக்கு மேலோங்கி அண்ணத்தை வருடினால் ர ழ மெய்யெழுத்து பிறக்கும்.

நூற்பா மூலம்

நுனி நா அணரி அண்ணம் வருட
ரகார ழகாரம் ஆயிரண்டும் பிறக்கும். 13",
ல ள பிறப்பு முறை,"தொல்காப்பியம் ல ள Tolkappiyam Tamil Linguistics 30
நாக்கின் விளிம்புக்கள் வீங்கி பல்லின் அடிப்பகுதி ஓரத்தை ஒற்றினால் ல மெய் பிறக்கும். வருடினால் ள மெய் பிறக்கும்.


நூற்பா மூலம்

நா விளிம்பு வீங்கி அண்பல் முதல் உற
ஆவயின் அண்ணம் ஒற்றவும் வருடவும்
லகார ளகாரம் ஆயிரண்டும் பிறக்கும். 14",
ப ம பிறப்பு முறை,"தொல்காப்பியம் ப ம Tolkappiyam Tamil Linguistics 31
இதழ்கள் இணையும்போது ப ம மெய்கள் பிறக்கும்.

நூற்பா மூலம்

இதழ் இயைந்து பிறக்கும் பகார மகாரம். 15",
வ பிறக்கும் முறை,"தொல்காப்பியம் வ Tolkappiyam Tamil Linguistics 32
பல்லும் இதழும் இணைந்தால் வ மெய் பிறக்கும்.

நூற்பா மூலம்

பல் இதழ் இயைய வகாரம் பிறக்கும். 16",
ய பிறக்கும் முறை,"தொல்காப்பியம் ய Tolkappiyam Tamil Linguistics 33
தொண்டையிலிருந்து எழுந்துவரும் காற்று இடங்கொண்டு வெளிவரும்போது ய மெய் பிறக்கும்.

நூற்பா மூலம்

அண்ணம் சேர்ந்த மிடற்று எழு வளி இசை
கண்ணுற்று அடைய யகாரம் பிறக்கும். 17",
மெல்லெழுத்துப் பிறக்கும் முறை,"தொல்காப்பியம் மெல்லெழுத்து Tolkappiyam Tamil Linguistics 34

மூக்குக் காற்று வழி
மெல்லெழுத்துக்கள் ஆறும் மேலே சொன்ன இடங்களில் பிறப்பன ஆயினும் காற்று மூக்கின் வழியே வெளிப்படும்போது பிறக்கும்.

நூற்பா மூலம்

மெல்லெழுத்து ஆறும் பிறப்பின் ஆக்கம்
சொல்லிய பள்ளி நிலையின ஆயினும்
மூக்கின் வளி இசை யாப்புறத் தோன்றும். 18",
சார்பெழுத்துக்கள் பிறக்கும் முறை,"தொல்காப்பியம் சார்பெழுத்து Tolkappiyam Tamil Linguistics 35
குற்றியலிகரம், குற்றியலுகரம், ஆய்தம் என்பவை சார்பெழுத்துக்கள்.
இவை பிற எழுத்துக்களைச் சார்ந்து வரும்போது பிறப்பவை.
இவற்றிற்கு என்று தனிப் பிறப்பிடம் இல்லை.
சார்ந்து வரும் ஒலிகளோடு ஒத்து இயங்கிப் பிறக்கும். 

நூற்பா மூலம்

சார்ந்து வரின் அல்லது தமக்கு இயல்பு இல எனத்
தேர்ந்து வெளிப்படுத்த ஏனை மூன்றும்
தம்தம் சார்பின் பிறப்பொடு சிவணி
ஒத்த காட்சியின் தம் இயல்பு இயலும். 19",
அந்தணர் மறை என்றால் என்னன,"தொல்காப்பியம் அந்தணர் மறை Tolkappiyam Tamil Linguistics 36
எல்லா எழுத்துக்களும் பிறக்கும் இடங்கள் பற்றியும், காற்று பிறந்து வெளிப்பட்டு உரசும் பாங்கு பற்றியும் வெளிப்படையாகச்  சொல்லக்கூடிய அளவில் இங்குச் சொல்லப்பட்டன.
உள்ளே தோன்றும் காற்றின் அளபு பற்றிய செய்தி இங்குக் கூறப்படவில்லை.
அந்தணர் மறையில் காற்றின் அளபு கூறப்பட்டுள்ளது.

அந்தணர் = உள்ளுணர்வாள்ளர் (அந்து அணர் - அந்தில் என்னும் இடைச்சொல் தொல்காப்பியம் இடையியலில் கூறப்பட்டுள்ளது)

நூற்பா மூலம்

எல்லா எழுத்தும் வெளிப்படக் கிளந்து
சொல்லிய பள்ளி எழுதரு வளியின்
பிறப்பொடு விடுவழி உறழ்ச்சி வாரத்து
அகத்து எழு வளி இசை அரில் தப நாடி
அளபின் கோடல் அந்தணர் மறைத்தே. 20

அஃது இவண் நுவலாது எழுந்து புறத்து இசைக்கும்
மெய் தெரி வளி இசை அளபு நுவன்றிசினே. 21",
பிறப்பியல் குறித்து இளம்பூரணர் கருத்து யாது?,"3. பிறப்பியல்
எழுத்துக்களின் பிறப்பிலக்கணம் உணர்த்துவது

இவ் வோத்து என்ன பெயர்த்தோவெனின், எழுத்துக்களது பிறப்பு உணர்த்தினமையின் பிறப்பியல் என்னும் பெயர்த்து.இதனை நூன்மரபின் பின்னே வைக்கவெனின் சார்பிற்றோற்றத் தெழுத்தும் தனிமெய்யும் மொழிமரபிடை உணர்த்திப் பிறப்பு உணர்த்த வேண்டுதலின், மொழிமரபின் பின்னதாயிற்று.",
