Prompt,Response,Label
புணரியல் நூற்பா 21 எழுதித் தரவும்.,"னஃகான் றஃகான் நான்கன் உருபிற்கு. 21
ஆனின் னகரமும் அதன் ஓரற்றே
",
புணரியல் நூற்பா 22 எழுதித் தரவும்.,நாள் முன் வரூஉம் வல் முதல் தொழிற்கே. 22,
புணரியல் நூற்பா 23 எழுதித் தரவும்.,அத்தின் அகரம் அகர முனை இல்லை. 23,
புணரியல் நூற்பா 24 எழுதித் தரவும்.,இக்கின் இகரம் இகர முனை அற்றே. 24,
புணரியல் நூற்பா 25 எழுதித் தரவும்.,ஐயின் முன்னரும் அவ் இயல் நிலையும். 25,
புணரியல் நூற்பா 26 எழுதித் தரவும்.,"எப் பெயர் முன்னரும் வல்லெழுத்து வரு வழி
அக்கின் இறுதி மெய்ம் மிசையொடும் கெடுமே
குற்றியலுகரம் முற்றத் தோன்றாது. 26
",
புணரியல் நூற்பா 27 எழுதித் தரவும்.,"அம்மின் இறுதி க ச தக் காலை
தன் மெய் திரிந்து ங ஞ ந ஆகும். 27
",
புணரியல் நூற்பா 28 எழுதித் தரவும்.,"மென்மையும் இடைமையும் வரூஉம் காலை
இன்மை வேண்டும் என்மனார் புலவர். 28
",
புணரியல் நூற்பா 29 எழுதித் தரவும்.,"இன் என வரூஉம் வேற்றுமை உருபிற்கு
இன் என் சாரியை இன்மை வேண்டும். 29
",
புணரியல் நூற்பா 30 எழுதித் தரவும்.,"பெயரும் தொழிலும் பிரிந்து ஒருங்கு இசைப்ப
வேற்றுமை உருபு நிலைபெறு வழியும்
தோற்றம் வேண்டாத் தொகுதிக்கண்ணும்
ஒட்டுதற்கு ஒழுகிய வழக்கொடு சிவணி
சொற் சிதர் மருங்கின் வழி வந்து விளங்காது
இடை நின்று இயலும் சாரியை இயற்கை
உடைமையும் இன்மையும் ஒடுவயின் ஒக்கும். 30
",
புணரியல் நூற்பா 31 எழுதித் தரவும்.,"அத்தே வற்றே ஆயிரு மொழிமேல்
ஒற்று மெய் கெடுதல் தெற்றென்றற்றே
அவற்று முன் வரூஉம் வல்லெழுத்து மிகுமே. 31
",
புணரியல் நூற்பா 32 எழுதித் தரவும்.,"காரமும் கரமும் கானொடு சிவணி
நேரத் தோன்றும் எழுத்தின் சாரியை. 32
",
புணரியல் நூற்பா 33 எழுதித் தரவும்.,"அவற்றுள்,
கரமும் கானும் நெட்டெழுத்து இலவே. 33
",
புணரியல் நூற்பா 34 எழுதித் தரவும்.,வரன்முறை மூன்றும் குற்றெழுத்து உடைய. 34,
புணரியல் நூற்பா 35 எழுதித் தரவும்.,ஐகார ஔகாரம் கானொடும் தோன்றும். 35,
புணரியல் நூற்பா 36 எழுதித் தரவும்.,"புள்ளி ஈற்று முன் உயிர் தனித்து இயலாது
மெய்யொடும் சிவணும் அவ் இயல் கெடுத்தே. 36
",
புணரியல் நூற்பா 37 எழுதித் தரவும்.,"மெய் உயிர் நீங்கின் தன் உரு ஆகும். 37
",
புணரியல் நூற்பா 38 எழுதித் தரவும்.,"எல்லா மொழிக்கும் உயிர் வரு வழியே
உடம்படுமெய்யின் உருபு கொளல் வரையார். 38
",
புணரியல் நூற்பா 39 எழுதித் தரவும்.,"எழுத்து ஓரன்ன பொருள் தெரி புணர்ச்சி
இசையின் திரிதல் நிலைஇய பண்பே. 39
",
புணரியல் நூற்பா 40 எழுதித் தரவும்.,"அவைதாம்,
முன்னப் பொருள புணர்ச்சிவாயின்
இன்ன என்னும் எழுத்துக் கடன் இலவே. 40",
புணரியல் முதல் நூற்பா எழுதித் தரவும்.,"மூன்று தலை இட்ட முப்பதிற்று எழுத்தின்
இரண்டு தலை இட்ட முதல் ஆகு இருபஃது
அறு நான்கு ஈறொடு நெறி நின்று இயலும்
எல்லா மொழிக்கும் இறுதியும் முதலும்
மெய்யே உயிர் என்று ஆயீர் இயல. 1",
புணரியல் இரண்டாம் நூற்பா எழுதித் தரவும்.,"அவற்றுள்,
மெய் ஈறு எல்லாம் புள்ளியொடு-நிலையல். 2",
புணரியல் மூன்றாம் நூற்பா எழுதித் தரவும்.,குற்றியலுகரமும் அற்று என மொழிப. 3,
புணரியல் நான்காம் நூற்பா எழுதித் தரவும்.,உயிர்மெய் ஈறும் உயிர் ஈற்று இயற்றே. 4,
புணரியல் ஐந்தாம் நூற்பா எழுதித் தரவும்.,"உயிர் இறு சொல் முன் உயிர் வரு வழியும்
உயிர் இறு சொல் முன் மெய் வரு வழியும்
மெய் இறு சொல் முன் உயிர் வரு வழியும்
மெய் இறு சொல் முன் மெய் வரு வழியும் என்று
இவ் என அறியக் கிளக்கும் காலை
நிறுத்த சொல்லே குறித்து வரு கிளவி என்று
ஆயீர் இயல புணர் நிலைச் சுட்டே. 5",
புணரியல் ஆறாம் நூற்பா எழுதித் தரவும்.,"அவற்றுள்,
நிறுத்த சொல்லின் ஈறு ஆகு எழுத்தொடு
குறித்து வரு கிளவி முதல் எழுத்து இயைய
பெயரொடு பெயரைப் புணர்க்குங் காலும்
பெயரொடு தொழிலைப் புணர்க்குங் காலும்
தொழிலொடு பெயரைப் புணர்க்குங் காலும்
தொழிலொடு தொழிலைப் புணர்க்குங் காலும்
மூன்றே திரிபு இடன் ஒன்றே இயல்பு என
ஆங்கு அந் நான்கே மொழி புணர் இயல்பே. 6",
புணரியல் ஏழாம் நூற்பா எழுதித் தரவும்.,"அவைதாம்,
மெய் பிறிது ஆதல் மிகுதல் குன்றல் என்று
இவ் என மொழிப திரியும் ஆறே. 7",
புணரியல் எட்டாம் நூற்பா எழுதித் தரவும்.,"நிறுத்த சொல்லும் குறித்து வரு கிளவியும்
அடையொடு தோன்றினும் புணர் நிலைக்கு உரிய. 8",
புணரியல் ஒன்பதாம் நூற்பா எழுதித் தரவும்.,"மருவின் தொகுதி மயங்கியல் மொழியும்
உரியவை உளவே புணர் நிலைச் சுட்டே. 9
",
புணரியல் பத்தாம் நூற்பா எழுதித் தரவும்.,"வேற்றுமை குறித்த புணர்மொழி நிலையும்
வேற்றுமை அல்வழிப் புணர்மொழி நிலையும்
எழுத்தே சாரியை ஆயிரு பண்பின்
ஒழுக்கல் வலிய புணரும் காலை. 10
",
புணரியல் பதினொன்றாம் நூற்பா எழுதித் தரவும்.,"ஐ ஒடு கு இன் அது கண் என்னும்
அவ் ஆறு என்ப வேற்றுமை உருபே. 11
",
புணரியல் பன்னிரண்டாம்  நூற்பா எழுதித் தரவும்.,"வல்லெழுத்து முதலிய வேற்றுமை உருபிற்கு
ஒல்வழி ஒற்று இடை மிகுதல் வேண்டும். 12
",
புணரியல் பதின்மூன்றாம் நூற்பா எழுதித் தரவும்.,"ஆறன் உருபின் அகரக் கிளவி
ஈறு ஆகு அகர முனைக் கெடுதல் வேண்டும். 13
",
புணரியல் பதினான்காம் நூற்பா எழுதித் தரவும்.,"வேற்றுமை வழிய பெயர் புணர் நிலையே. 14
உயர்திணைப் பெயரே அஃறிணைப் பெயர் என்று
",
புணரியல் பதினைந்தாம் நூற்பா எழுதித் தரவும்.,ஆயிரண்டு என்ப பெயர் நிலைச் சுட்டே. 15,
புணரியல் பதினாறாம் நூற்பா எழுதித் தரவும்.,அவற்று வழி மருங்கின் சாரியை வருமே. 16,
புணரியல் பதினேழாம் நூற்பா எழுதித் தரவும்.,"அவைதாம்,
இன்னே வற்றே அத்தே அம்மே
ஒன்னே ஆனே அக்கே இக்கே
அன் என் கிளவி உளப்பட பிறவும்
அன்ன என்ப சாரியை மொழியே. 17
",
புணரியல் பதினெட்டாம் நூற்பா எழுதித் தரவும்.,"அவற்றுள்,
இன்னின் இகரம் ஆவின் இறுதி
முன்னர்க் கெடுதல் உரித்தும் ஆகும். 18
",
புணரியல் பத்தொன்பதாம் நூற்பா எழுதித் தரவும்.,"அளபு ஆகு மொழி முதல் நிலைஇய உயிர்மிசை
னஃகான் றஃகான் ஆகிய நிலைத்தே. 19
",
புணரியல் இருபதாம் நூற்பா எழுதித் தரவும்.,"வஃகான் மெய் கெட சுட்டு முதல் ஐம் முன்
அஃகான் நிற்றல் ஆகிய பண்பே. 20
",
புணரியல் இருபத்தோராம் நூற்பா எழுதித் தரவும்.,"னஃகான் றஃகான் நான்கன் உருபிற்கு. 21
ஆனின் னகரமும் அதன் ஓரற்றே
",
புணரியல் இருபத்திரண்டாம் நூற்பா எழுதித் தரவும்.,நாள் முன் வரூஉம் வல் முதல் தொழிற்கே. 22,
புணரியல் இருபத்து மூன்றாம் நூற்பா எழுதித் தரவும்.,அத்தின் அகரம் அகர முனை இல்லை. 23,
புணரியல் இருபத்து நான்காம் நூற்பா எழுதித் தரவும்.,இக்கின் இகரம் இகர முனை அற்றே. 24,
புணரியல் இருபத்தைந்தாம் நூற்பா எழுதித் தரவும்.,ஐயின் முன்னரும் அவ் இயல் நிலையும். 25,
புணரியல் இருபத்து ஆறாம் நூற்பா எழுதித் தரவும்.,"எப் பெயர் முன்னரும் வல்லெழுத்து வரு வழி
அக்கின் இறுதி மெய்ம் மிசையொடும் கெடுமே
குற்றியலுகரம் முற்றத் தோன்றாது. 26
",
புணரியல் இருபத்து ஏழாம் நூற்பா எழுதித் தரவும்.,"அம்மின் இறுதி க ச தக் காலை
தன் மெய் திரிந்து ங ஞ ந ஆகும். 27
",
புணரியல் இருபத்து எட்டாம் நூற்பா எழுதித் தரவும்.,"மென்மையும் இடைமையும் வரூஉம் காலை
இன்மை வேண்டும் என்மனார் புலவர். 28
",
புணரியல் இருபத்து ஒன்பதாம் நூற்பா எழுதித் தரவும்.,"இன் என வரூஉம் வேற்றுமை உருபிற்கு
இன் என் சாரியை இன்மை வேண்டும். 29
",
புணரியல் முப்பதாம் நூற்பா எழுதித் தரவும்.,"பெயரும் தொழிலும் பிரிந்து ஒருங்கு இசைப்ப
வேற்றுமை உருபு நிலைபெறு வழியும்
தோற்றம் வேண்டாத் தொகுதிக்கண்ணும்
ஒட்டுதற்கு ஒழுகிய வழக்கொடு சிவணி
சொற் சிதர் மருங்கின் வழி வந்து விளங்காது
இடை நின்று இயலும் சாரியை இயற்கை
உடைமையும் இன்மையும் ஒடுவயின் ஒக்கும். 30
",
புணரியல் முப்பத்தொன்றாம் நூற்பா எழுதித் தரவும்.,"அத்தே வற்றே ஆயிரு மொழிமேல்
ஒற்று மெய் கெடுதல் தெற்றென்றற்றே
அவற்று முன் வரூஉம் வல்லெழுத்து மிகுமே. 31
",
புணரியல் முப்பத்து இரண்டாம் நூற்பா எழுதித் தரவும்.,"காரமும் கரமும் கானொடு சிவணி
நேரத் தோன்றும் எழுத்தின் சாரியை. 32
",
புணரியல் முப்பத்து மூன்றாம் நூற்பா எழுதித் தரவும்.,"அவற்றுள்,
கரமும் கானும் நெட்டெழுத்து இலவே. 33
",
புணரியல் முப்பத்து நான்காம் நூற்பா எழுதித் தரவும்.,வரன்முறை மூன்றும் குற்றெழுத்து உடைய. 34,
புணரியல் முப்பத்தைந்தாம் நூற்பா எழுதித் தரவும்.,ஐகார ஔகாரம் கானொடும் தோன்றும். 35,
புணரியல் முப்பத்து ஆறாம் நூற்பா எழுதித் தரவும்.,"புள்ளி ஈற்று முன் உயிர் தனித்து இயலாது
மெய்யொடும் சிவணும் அவ் இயல் கெடுத்தே. 36
",
புணரியல் முப்பத்து ஏழாம் நூற்பா எழுதித் தரவும்.,"மெய் உயிர் நீங்கின் தன் உரு ஆகும். 37
",
புணரியல் முப்பத்து எட்டாம் நூற்பா எழுதித் தரவும்.,"எல்லா மொழிக்கும் உயிர் வரு வழியே
உடம்படுமெய்யின் உருபு கொளல் வரையார். 38
",
புணரியல் முப்பத்து ஒன்பதாம் நூற்பா எழுதித் தரவும்.,"எழுத்து ஓரன்ன பொருள் தெரி புணர்ச்சி
இசையின் திரிதல் நிலைஇய பண்பே. 39
",
புணரியல் நாற்பதாம் நூற்பா எழுதித் தரவும்.,"அவைதாம்,
முன்னப் பொருள புணர்ச்சிவாயின்
இன்ன என்னும் எழுத்துக் கடன் இலவே. 40",
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் நூற்பா 1 எழுதித் தரவும்.,"மூன்று தலை இட்ட முப்பதிற்று எழுத்தின்
இரண்டு தலை இட்ட முதல் ஆகு இருபஃது
அறு நான்கு ஈறொடு நெறி நின்று இயலும்
எல்லா மொழிக்கும் இறுதியும் முதலும்
மெய்யே உயிர் என்று ஆயீர் இயல. 1",
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் நூற்பா 2 எழுதித் தரவும்.,"அவற்றுள்,
மெய் ஈறு எல்லாம் புள்ளியொடு-நிலையல். 2",
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் நூற்பா 3 எழுதித் தரவும்.,குற்றியலுகரமும் அற்று என மொழிப. 3,
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் நூற்பா 4 எழுதித் தரவும்.,உயிர்மெய் ஈறும் உயிர் ஈற்று இயற்றே. 4,
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் நூற்பா 5 எழுதித் தரவும்.,"உயிர் இறு சொல் முன் உயிர் வரு வழியும்
உயிர் இறு சொல் முன் மெய் வரு வழியும்
மெய் இறு சொல் முன் உயிர் வரு வழியும்
மெய் இறு சொல் முன் மெய் வரு வழியும் என்று
இவ் என அறியக் கிளக்கும் காலை
நிறுத்த சொல்லே குறித்து வரு கிளவி என்று
ஆயீர் இயல புணர் நிலைச் சுட்டே. 5",
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் நூற்பா 6 எழுதித் தரவும்.,"அவற்றுள்,
நிறுத்த சொல்லின் ஈறு ஆகு எழுத்தொடு
குறித்து வரு கிளவி முதல் எழுத்து இயைய
பெயரொடு பெயரைப் புணர்க்குங் காலும்
பெயரொடு தொழிலைப் புணர்க்குங் காலும்
தொழிலொடு பெயரைப் புணர்க்குங் காலும்
தொழிலொடு தொழிலைப் புணர்க்குங் காலும்
மூன்றே திரிபு இடன் ஒன்றே இயல்பு என
ஆங்கு அந் நான்கே மொழி புணர் இயல்பே. 6",
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் நூற்பா 7 எழுதித் தரவும்.,"அவைதாம்,
மெய் பிறிது ஆதல் மிகுதல் குன்றல் என்று
இவ் என மொழிப திரியும் ஆறே. 7",
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் நூற்பா 8 எழுதித் தரவும்.,"நிறுத்த சொல்லும் குறித்து வரு கிளவியும்
அடையொடு தோன்றினும் புணர் நிலைக்கு உரிய. 8",
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் நூற்பா 9 எழுதித் தரவும்.,"மருவின் தொகுதி மயங்கியல் மொழியும்
உரியவை உளவே புணர் நிலைச் சுட்டே. 9
",
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் நூற்பா 10 எழுதித் தரவும்.,"வேற்றுமை குறித்த புணர்மொழி நிலையும்
வேற்றுமை அல்வழிப் புணர்மொழி நிலையும்
எழுத்தே சாரியை ஆயிரு பண்பின்
ஒழுக்கல் வலிய புணரும் காலை. 10
",
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் நூற்பா 11 எழுதித் தரவும்.,"ஐ ஒடு கு இன் அது கண் என்னும்
அவ் ஆறு என்ப வேற்றுமை உருபே. 11
",
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் நூற்பா 12 எழுதித் தரவும்.,"வல்லெழுத்து முதலிய வேற்றுமை உருபிற்கு
ஒல்வழி ஒற்று இடை மிகுதல் வேண்டும். 12
",
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் நூற்பா 13 எழுதித் தரவும்.,"ஆறன் உருபின் அகரக் கிளவி
ஈறு ஆகு அகர முனைக் கெடுதல் வேண்டும். 13
",
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் நூற்பா 14 எழுதித் தரவும்.,"வேற்றுமை வழிய பெயர் புணர் நிலையே. 14
உயர்திணைப் பெயரே அஃறிணைப் பெயர் என்று
",
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் நூற்பா 15 எழுதித் தரவும்.,ஆயிரண்டு என்ப பெயர் நிலைச் சுட்டே. 15,
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் நூற்பா 16 எழுதித் தரவும்.,அவற்று வழி மருங்கின் சாரியை வருமே. 16,
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் நூற்பா 17 எழுதித் தரவும்.,"அவைதாம்,
இன்னே வற்றே அத்தே அம்மே
ஒன்னே ஆனே அக்கே இக்கே
அன் என் கிளவி உளப்பட பிறவும்
அன்ன என்ப சாரியை மொழியே. 17
",
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் நூற்பா 18 எழுதித் தரவும்.,"அவற்றுள்,
இன்னின் இகரம் ஆவின் இறுதி
முன்னர்க் கெடுதல் உரித்தும் ஆகும். 18
",
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் நூற்பா 19 எழுதித் தரவும்.,"அளபு ஆகு மொழி முதல் நிலைஇய உயிர்மிசை
னஃகான் றஃகான் ஆகிய நிலைத்தே. 19
",
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் நூற்பா 20 எழுதித் தரவும்.,"வஃகான் மெய் கெட சுட்டு முதல் ஐம் முன்
அஃகான் நிற்றல் ஆகிய பண்பே. 20
",
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் நூற்பா 21 எழுதித் தரவும்.,"னஃகான் றஃகான் நான்கன் உருபிற்கு. 21
ஆனின் னகரமும் அதன் ஓரற்றே
",
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் நூற்பா 22 எழுதித் தரவும்.,நாள் முன் வரூஉம் வல் முதல் தொழிற்கே. 22,
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் நூற்பா 23 எழுதித் தரவும்.,அத்தின் அகரம் அகர முனை இல்லை. 23,
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் நூற்பா 24 எழுதித் தரவும்.,இக்கின் இகரம் இகர முனை அற்றே. 24,
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் நூற்பா 25 எழுதித் தரவும்.,ஐயின் முன்னரும் அவ் இயல் நிலையும். 25,
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் நூற்பா 26 எழுதித் தரவும்.,"எப் பெயர் முன்னரும் வல்லெழுத்து வரு வழி
அக்கின் இறுதி மெய்ம் மிசையொடும் கெடுமே
குற்றியலுகரம் முற்றத் தோன்றாது. 26
",
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் நூற்பா 27 எழுதித் தரவும்.,"அம்மின் இறுதி க ச தக் காலை
தன் மெய் திரிந்து ங ஞ ந ஆகும். 27
",
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் நூற்பா 28 எழுதித் தரவும்.,"மென்மையும் இடைமையும் வரூஉம் காலை
இன்மை வேண்டும் என்மனார் புலவர். 28
",
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் நூற்பா 29 எழுதித் தரவும்.,"இன் என வரூஉம் வேற்றுமை உருபிற்கு
இன் என் சாரியை இன்மை வேண்டும். 29
",
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் நூற்பா 30 எழுதித் தரவும்.,"பெயரும் தொழிலும் பிரிந்து ஒருங்கு இசைப்ப
வேற்றுமை உருபு நிலைபெறு வழியும்
தோற்றம் வேண்டாத் தொகுதிக்கண்ணும்
ஒட்டுதற்கு ஒழுகிய வழக்கொடு சிவணி
சொற் சிதர் மருங்கின் வழி வந்து விளங்காது
இடை நின்று இயலும் சாரியை இயற்கை
உடைமையும் இன்மையும் ஒடுவயின் ஒக்கும். 30
",
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் நூற்பா 31 எழுதித் தரவும்.,"அத்தே வற்றே ஆயிரு மொழிமேல்
ஒற்று மெய் கெடுதல் தெற்றென்றற்றே
அவற்று முன் வரூஉம் வல்லெழுத்து மிகுமே. 31
",
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் நூற்பா 32 எழுதித் தரவும்.,"காரமும் கரமும் கானொடு சிவணி
நேரத் தோன்றும் எழுத்தின் சாரியை. 32
",
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் நூற்பா 33 எழுதித் தரவும்.,"அவற்றுள்,
கரமும் கானும் நெட்டெழுத்து இலவே. 33
",
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் நூற்பா 34 எழுதித் தரவும்.,வரன்முறை மூன்றும் குற்றெழுத்து உடைய. 34,
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் நூற்பா 35 எழுதித் தரவும்.,ஐகார ஔகாரம் கானொடும் தோன்றும். 35,
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் நூற்பா 36 எழுதித் தரவும்.,"புள்ளி ஈற்று முன் உயிர் தனித்து இயலாது
மெய்யொடும் சிவணும் அவ் இயல் கெடுத்தே. 36
",
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் நூற்பா 37 எழுதித் தரவும்.,"மெய் உயிர் நீங்கின் தன் உரு ஆகும். 37
",
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் நூற்பா 38 எழுதித் தரவும்.,"எல்லா மொழிக்கும் உயிர் வரு வழியே
உடம்படுமெய்யின் உருபு கொளல் வரையார். 38
",
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் நூற்பா 39 எழுதித் தரவும்.,"எழுத்து ஓரன்ன பொருள் தெரி புணர்ச்சி
இசையின் திரிதல் நிலைஇய பண்பே. 39
",
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் நூற்பா 40 எழுதித் தரவும்.,"அவைதாம்,
முன்னப் பொருள புணர்ச்சிவாயின்
இன்ன என்னும் எழுத்துக் கடன் இலவே. 40",
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் முதல் நூற்பா எழுதித் தரவும்.,"மூன்று தலை இட்ட முப்பதிற்று எழுத்தின்
இரண்டு தலை இட்ட முதல் ஆகு இருபஃது
அறு நான்கு ஈறொடு நெறி நின்று இயலும்
எல்லா மொழிக்கும் இறுதியும் முதலும்
மெய்யே உயிர் என்று ஆயீர் இயல. 1",
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் இரண்டாம் நூற்பா எழுதித் தரவும்.,"அவற்றுள்,
மெய் ஈறு எல்லாம் புள்ளியொடு-நிலையல். 2",
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் மூன்றாம் நூற்பா எழுதித் தரவும்.,குற்றியலுகரமும் அற்று என மொழிப. 3,
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் நான்காம் நூற்பா எழுதித் தரவும்.,உயிர்மெய் ஈறும் உயிர் ஈற்று இயற்றே. 4,
தொல்காப்பிய எழுத்ததிகாரப் புணரியல் ஐந்தாம் நூற்பா எழுதித் தரவும்.,"உயிர் இறு சொல் முன் உயிர் வரு வழியும்
உயிர் இறு சொல் முன் மெய் வரு வழியும்
மெய் இறு சொல் முன் உயிர் வரு வழியும்
மெய் இறு சொல் முன் மெய் வரு வழியும் என்று
இவ் என அறியக் கிளக்கும் காலை
நிறுத்த சொல்லே குறித்து வரு கிளவி என்று
ஆயீர் இயல புணர் நிலைச் சுட்டே. 5",
